translation,ayah_number,surah_number,sentence,en-tafsir-mokhtasar-html
"ALL PRAISE BE to Allah, Lord of all the worlds,",1,1,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ,"All praise belongs to Allah with regards to His essence, attributes and actions, because He is the Creator of everything. Everything belongs to Him and He is the disposer of their affairs; blessing individuals specifically and humans in general."
"Most beneficent, ever-merciful,",2,1,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,"Two names of Allah, Ar-Raḥmān and Ar-Raḥīm, derived from the word raḥmah, or mercy: indicating His mercy for creation, with the believers being the greatest recipients of it."
King of the Day of Judgement.,3,1,مَٰلِكِ يَوْمِ ٱلدِّينِ,"He is the Master of the day of Judgement, the day in which we will be brought back to life and repaid for what we have done, all of His creation will be held accountable for their actions and recompensed for them. On that day God will ask “To whom belongs the Kingdom today?” [Sūrah Ghafir: 16] No one, no matter how high his status, will answer, and then God will reply Himself, “to God, the One, the Overcomer” [Sūrah Ghafir: 16]"
"You alone we worship, and to You alone turn for help.",4,1,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,"We worship and obey none except You; we associate no one with You, and from You alone do we ask for help in all our affairs. All goodness is in Your hand, and there is no helper except You."
"Guide us (O Lord) to the path that is straight,",5,1,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,"Show and facilitate for us the right way, the path of submission to You which has no crookedness, and make us firm upon it –"
"The path of those You have blessed, Not of those who have earned Your anger, nor those who have gone astray.",6,1,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,"The same path as those of Your creation whom You have blessed with guidance, such as the prophets, the truthful, martyrs, and the righteous ones. What good companions these people make! Keep us away from the path of those who earned Your anger, who knew the truth and did not follow it – as was the case with the Israelites; and keep us away from the path of those who lost their way and were not guided, because they were neglectful in seeking the Truth and being guided by it – as was the case with the Christians."
ALIF LAM MIM.,0,2,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ الٓمٓ,"Alif Lām Mīm – letters like these begin certain sūrahs of the Qur’ān. Although they have no meaning in themselves, they do however have a purpose. Since there is divine wisdom contained in everything in the Qur’ān, these letters point to the miracle of the Qur’ān, made up of the letters which make up the words we speak. Therefore, when sūrahs begin with letters in this way, they are usually followed with a verse about the Qur’ān, as we see in this sūrah."
"This is The Book free of doubt and involution, a guidance for those who preserve themselves from evil and follow the straight path,",1,2,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ,"This is the Qur’ān, in which there is nothing of any doubt, neither in terms of its origin, nor in terms of its meaning. It is the word of Allah, guiding those who are mindful of Allah to the way that leads to Him."
"Who believe in the Unknown and fulfil their devotional obligations, and spend in charity of what We have given them;",2,2,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ,"They believe in the revelation that Allah sent down to you, O Prophet, and in that which He revealed to all the other prophets before you (peace be upon them), without distinction; and they have a definite belief in the Afterlife, with its rewards and punishments."
"Who believe in what has been revealed to you and what was revealed to those before you, and are certain of the Hereafter.",3,2,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْءَاخِرَةِ هُمْ يُوقِنُونَ,"They believe in the revelation that Allah sent down to you, O Prophet, and in that which He revealed to all the other prophets before you (peace be upon them), without distinction; and they have a definite belief in the Afterlife, with its rewards and punishments."
